Name,ID,Birth Year
Bùi Bé Tư,pol13805960,
Bùi Hồng Minh,pol19788477,1971
Bùi Quang Hải,pol15274804,
Bùi Tiến Cam,pol15276694,1959
Bùi Xuân Sơn,pol13464197,
Cao Ngọc Oánh,pol239291,1954
Dương Anh Điền,pol830029,1955
Dương Anh Đức,pol19124739,1968
Dương Chí Dũng,pol1288152,1957
Dương Ngọc Hải,pol3690918,1967
Dương Thái Nguyên,pol13805808,
Hoàng Anh Tuyên,pol15406091,
Hoàng Hữu Năng,pol16022868,1953
Hoàng Kiền,pol12964544,1950
Hoàng Văn Hà,pol19856181,1976
Hoàng Đức Lừng,pol15817082,1968
Huỳnh Cách Mạng,pol3707187,1965
Hồ Thanh Đình,pol3623657,1960
Hồ Trọng Ngũ,pol1463366,1958
Hồ Văn Mười,pol19668194,1969
Lâm Ngọc Huy,pol14891090,1951
Lê Hoài Thanh,pol19638483,1950
Lê Hòa Bình,pol19615482,1970
Lê Hồng Nam,pol19412950,1966
Lê Lương Minh,pol1679324,1952
Lê Minh Hùng,pol13773064,1963
Lê Mạnh Hà,pol2414009,1957
Lê Ngọc Châu,pol19856286,1972
Lê Thanh Hải,pol16021491,
Lê Thanh Liêm,pol13478452,1963
Lê Thị Bích Trân,pol19860187,1958
Lê Tấn Tảo,pol12845710,
Lê Vân,pol16987967,
Lê Văn Khoa,pol3706932,1961
Lê Văn Minh,pol13191158,1958
Lê Văn Sao,pol19551556,1967
Lê Đăng Dũng,pol13716271,1959
Lý Anh Dũng,pol11474996,1961
Lưu Đức Huy,pol3701819,1954
Lương Ngọc Bính,pol1464917,1955
Lương Việt Hùng,pol7529641,
Lương Đình Hồng,pol7503705,1963
Mai Hoàng,pol19720026,1979
Nguyễn Anh Tuấn,pol12840108,1957
Nguyễn Bá Cảnh,pol19946212,1983
Nguyễn Bạch Đằng,pol16813795,
Nguyễn Chí Dũng,pol10572671,
Nguyễn Chí Thành,pol11763142,1956
Nguyễn Chí Thành,pol10572617,
Nguyễn Công Nghiệp,pol3171644,1953
Nguyễn Công Sơn,pol11672731,
Nguyễn Danh Cộng,pol12871956,1957
Nguyễn Huy Tiến,pol13470599,1968
Nguyễn Huy Đức,pol11672274,
Nguyễn Hồng Nguyên,pol15793716,
Nguyễn Hồng Phong,pol19949566,1979
Nguyễn Hữu Trí,pol13580000,1962
Nguyễn Hữu Tín,pol804947,1957
Nguyễn Khắc Khanh,pol12952055,
Nguyễn Khắc Thủy,pol15563354,
Nguyễn Ngọc Bằng,pol10613118,
Nguyễn Ngọc Hiếu,pol16721828,
Nguyễn Ngọc Thanh,pol19551547,1965
Nguyễn Ngọc Toàn,pol15540946,
Nguyễn Ngọc Vân,pol19860168,1976
