Name,ID,Birth Year
Bùi Quốc Huy,pol368653,1945
Bùi Xuân Hòa,pol11385157,1962
Cao Đức Phát,pol108361,1956
Cư Hòa Vần,pol324798,1935
Dương Ngọc Long,pol810328,1957
Hoàng Quy,pol3164564,1927
Hoàng Trường Minh,pol3169561,1922
Hoàng Tùng,pol510183,1920
Hoàng Văn Chất,pol3701598,1959
Hoàng Văn Hoan,pol42135,1905
Hoàng Văn Nghiên,pol479143,1941
Huỳnh Văn Tí,pol1463485,1956
Hà Mạnh Trí,pol1463067,1942
Hà Ngọc Chiến,pol1463194,1957
Hà Quang Dự,pol1462791,1945
"Hà Thị Khiết, Hà Thị Khích",pol325250,1950
Hồ Nghĩa Dũng,pol106961,1950
Lê Doãn Hợp,pol61353,1951
Lê Thị Thu Hồng,pol3698489,1970
Lê Đông Phong,pol1463387,1960
Lê Ất Hợi,pol2417978,1935
Mai Trực,pol3717371,1957
Mùa A Sơn,pol3701927,1964
Nguyễn Chấn,pol19488682,1924
Nguyễn Duy Quý,pol65601,1932
Nguyễn Hoàng Mai,pol3700156,1965
Nguyễn Huy Thái,pol3698644,1968
Nguyễn Hạnh Phúc,pol234866,1959
Nguyễn Hữu Vạn,pol2234859,1956
Nguyễn Quốc Hận,pol3696868,1965
Nguyễn Thái Hưng,pol19503054,1965
Nguyễn Thế Thảo,pol113537,1952
Nguyễn Thị Kim Thúy,pol1463476,1967
Nguyễn Thị Ngọc Phượng,pol1407145,1944
Nguyễn Thị Nương,pol1463381,1955
Nguyễn Trường Giang,pol3700500,1971
Nguyễn Văn Hiệu,pol55279,1938
Nguyễn Văn Vịnh,pol3700667,1960
Nguyễn Xiển,pol65045,1907
Nguyễn Đình Lộc,pol573366,1935
Nguyễn Đắc Quỳnh,pol3702903,1961
Nguyễn Đức Thuận,pol314154,1916
Ngô Thị Minh,pol1463349,1964
Phan Ngọc Thọ,pol3700134,1963
Phan Thanh Bình,pol1463540,1960
Phan Thái Bình,pol3702863,1974
Phan Thị Mỹ Thanh,pol3697397,1965
Phùng Quốc Hiển,pol1463255,1958
Phùng Xuân Nhạ,pol1735774,1963
Phương Minh Hòa,pol3174137,1955
Phạm Xuân Đương,pol787645,1956
Phạm Đình Toản,pol3701130,1966
Thào Hồng Sơn,pol1463423,1965
Trung tướng Nguyễn Xuân Dắt,pol13478054,1967
Tráng A Pao,pol325220,1945
Trương Tấn Sang,pol106424,1949
Trần Bình Minh,pol808519,1958
Trần Thị Trung Chiến,pol435051,1946
Trần Văn Hiển,pol3171725,1922
Trần Đình Đàn,pol214734,1951
Trịnh Việt Hùng,pol19609311,1977
Tạ Văn Hạ,pol3698642,1970
Uông Chu Lưu,pol60491,1955
Võ Kim Cự,pol1463202,1957
Võ Thành Trinh,pol2361541,1916
Võ Thị Như Hoa,pol3696285,1967
Vũ Hồng Bắc,pol810327,1961
Vũ Mão,pol662974,1939
Vũ Ngọc Hải,pol506092,1931
Vũ Thị Lưu Mai,pol3694835,1972
Vũ Văn Hiến,pol3376062,1947
Xuân Thủy,pol58729,1912
Đoàn Duy Thành,pol467548,1929
Đào Đình Bình,pol302014,1945
Đặng Thị Ngọc Thịnh,pol1463457,1959
Đặng Trọng Thăng,pol7786791,1960
Đặng Vũ Chư,pol459001,1940
Đặng Vũ Minh,pol237619,1946
Đồng Sĩ Nguyên,pol62117,1923
Đỗ Quốc Sam,pol137184,1929
Đỗ Trung Tá,pol1462993,1945
