Name,ID,Birth Year
A Pớt,pol3701245,1963
Bùi Quang Bền,pol803211,1955
Bùi Quang Tạo,pol1509004,1913
Bùi Văn Cường,pol1463209,1965
Cao Tường Huy,pol19770422,1973
Hoàng Văn Toái,pol19638128,1950
Huỳnh Tấn Phát,pol17567,1913
Huỳnh Đức Hòa,pol1464705,1954
Hà Thị Quế,pol1503148,1921
Lê Khả Phiêu,pol24330,1931
Lê Minh Chuẩn,pol3702886,1965
Lê Mạnh Hùng,pol19787447,1973
Lê Thanh Hải,pol49100,1950
Lê Thị Nga,pol1462936,1964
Lê Đình Nhường,pol3634775,1962
Nguyễn Bá Sơn,pol3696280,1963
Nguyễn Hải Hưng,pol3700868,1966
Nguyễn Khánh,pol474704,1928
Nguyễn Minh Đức,pol3692861,
Nguyễn Mạnh Cầm,pol28067,1929
Nguyễn Mạnh Kiểm,pol19713257,1938
Nguyễn Ngọc Trìu,pol1684356,1926
Nguyễn Nhân Chiến,pol3281065,1960
Nguyễn Nhật,pol1465044,1961
Nguyễn Quang Dũng,pol3702842,1966
"Nguyễn Quyết, Nguyễn Tiến Văn",pol103854,1922
Nguyễn Sơn,pol7536840,1957
Nguyễn Thanh Quang,pol3696301,1964
Nguyễn Thái Học,pol23672,1902
Nguyễn Thị Lệ Thủy,pol3698783,1968
Nguyễn Thị Mai Hoa,pol1464702,1967
Nguyễn Thị Thúy Ngần,pol19785738,1972
Nguyễn Thị Định,pol21737,1920
Nguyễn Trọng Xuyên,pol1334343,1926
Nguyễn Tấn Dũng,pol41593,1949
Nguyễn Văn Huyên,pol362594,1905
Nguyễn Văn Thể,pol1289561,1966
Ngô Minh Châu,pol3692760,1964
Ngô Thị Huệ,pol3217396,1918
Phạm Gia Khiêm,pol55714,1944
Phạm Minh Hạc,pol2389689,1935
Phạm Minh Tuyên,pol1464891,1949
Phạm Phú Quốc,pol3691294,1968
Phạm Quý Tỵ,pol1463092,1953
Phạm Thành Tâm,pol3700872,1960
Phạm Thế Duyệt,pol182735,1936
Phạm Văn Thịnh,pol19787023,1981
Phạm Đình Phú,pol1464820,1948
Phạm Đức Ấn,pol19774043,1970
"Thuận Hữu, (Nguyễn Hữu Thuận)",pol643172,1958
Tráng Thị Xuân,pol3702909,1969
Trương Quang Nghĩa,pol2425798,1958
Trương Quang Được,pol1462803,1940
Trần Anh Tuấn,pol3692765,1974
Trần Công Phàn,pol7530396,1960
Trần Công Thuật,pol1464867,1961
Trần Hữu Dực,pol345535,1910
Trần Quỳnh,pol478247,1920
Trần Thị Tâm Đan,pol1462775,
Trần Văn Phác,pol1462958,1926
Trần Văn Tư,pol1463509,1958
Trần Đăng Ninh,pol3702922,1962
Trịnh Văn Quyết,pol3523698,1975
Tạ Quang Bửu,pol22574,1910
Vũ Hồng Thanh,pol3693720,1962
Vũ Văn Cẩn,pol2263837,1914
Vũ Xuân Hồng,pol805129,1950
Vũ Đình Cự,pol1462771,1936
Y Ngông Niê Kdăm,pol324020,1922
Y Pah,pol19683468,1939
Đoàn Mạnh Giao,pol502787,1944
Đàm Quang Trung,pol90538,1921
Đào Ngọc Dung,pol579243,1962
Đào Trọng Thi,pol112649,1951
Đặng Ngọc Tùng,pol1463083,1952
Đặng Thai Mai,pol19044,1902
"Đồng Văn Cống, Bảy Cống",pol170953,1918
Đồng Văn Lâm,pol2442589,1961
Đỗ Kim Tuyến,pol778715,1958
Đỗ Thị Lan,pol3702888,1967
