Name,ID,Birth Year
Bùi Công Bửu,pol19523410,
Bùi Văn Khánh,pol15221423,1964
Bùi Văn Quang,pol14762181,1967
Bùi Văn Thắng,pol19522622,
Bùi Đức Hinh,pol19670152,1968
Cao Tiến Dũng,pol15375950,1972
Cao Tấn Khổng,pol1464738,1958
Châu Thị Mỹ Phương,pol3314453,1972
Cầm Ngọc Minh,pol3706076,1959
Doãn Văn Hưởng,pol3701981,1956
Dương Thành Trung,pol3709572,1961
Dương Văn Tính,pol19533798,
Hoàng Dân Mạc,pol1761601,1958
Hoàng Ngọc Đường,pol19523147,1954
Hoàng Xuân Ánh,pol3713126,1964
Huỳnh Quốc Việt,pol19661173,1976
Huỳnh Thành Hiệp,pol509065,1951
Huỳnh Thị Chiến Hòa,pol19757098,1973
Huỳnh Thị Hằng,pol19493488,1975
Huỳnh Văn Be,pol1462742,1949
Hồ Tiến Thiệu,pol19436222,1965
Hồ Văn Mừng,pol19666320,1977
Lê Duy Thành,pol19429288,1969
Lê Hồng Vinh,pol19912125,1974
Lê Hữu Lộc,pol19523248,1954
Lê Ngọc Hưng,pol3706725,1960
Lê Quân,pol3694815,1974
"Lê Thanh Cung, Chín Cung",pol2436154,1954
Lê Tiến Phương,pol19523405,1957
Lê Trí Thanh,pol16190307,1970
Lê Tuấn Phong,pol19605170,1974
Lê Văn Dũng,pol19787734,1966
Lê Văn Hẳn,pol19603922,1970
Lê Văn Triết,pol19947700,1937
Lê Ánh Dương,pol19526076,1966
Lý Thái Hải,pol3712085,1960
Lữ Ngọc Cư,pol1462768,1955
Lữ Quang Ngời,pol15151592,1972
Ma Văn Lả,pol13515532,1958
Nguyễn Bốn,pol3718546,1962
Nguyễn Hương Giang,pol3707353,1969
Nguyễn Hữu Thể,pol3706828,1959
Nguyễn Khắc Thận,pol19608952,1974
Nguyễn Mạnh Dũng,pol3699820,1973
Nguyễn Ngọc Hai,pol1464685,1962
Nguyễn Sỹ,pol19523210,
Nguyễn Thanh Bình,pol14803863,1964
Nguyễn Thanh Dương,pol3702134,1959
Nguyễn Thanh Ngọc,pol19493532,1969
Nguyễn Thị Thu Thủy,pol577161,1957
Nguyễn Trung Hiếu,pol579406,1959
Nguyễn Tuấn Minh,pol1464778,1953
Nguyễn Tường Văn,pol19563630,1971
Nguyễn Tấn Hưng,pol1464720,1955
Nguyễn Tấn Tuân,pol1463511,1964
Nguyễn Tử Quỳnh,pol3707358,1959
Nguyễn Việt Oanh,pol19910906,1980
Nguyễn Văn Dương,pol3709922,1961
Nguyễn Văn Linh,pol3259442,1959
Nguyễn Văn Quang,pol3710613,1959
Nguyễn Văn Quang,pol3711741,1959
Nguyễn Văn Sơn,pol3705293,1964
Nguyễn Văn Sỹ,pol19522703,
Nguyễn Văn Thọ,pol16244836,1968
Nguyễn Văn Trì,pol1464880,1962
Nguyễn Văn Trình,pol3710402,1959
Nguyễn Văn Trăm,pol3241631,1959
Nguyễn Văn Tuấn,pol19522610,1954
Nguyễn Văn Út,pol19607448,1969
Nguyễn Xuân Đường,pol3706195,1958
Nguyễn Đình Xứng,pol2460943,1962
Nguyễn Đăng Khoa,pol11385144,1971
Nguyễn Đức Chính,pol3710967,1959
Nguyễn Đức Long,pol3705037,1959
Phan Huy Ngọc,pol19949822,1972
Phan Văn Thắng,pol3709900,1967
Phạm Anh Tuấn,pol19752973,1973
Phạm Hoàng Bê,pol19523151,1955
Phạm Hùng Thái,pol19786923,1970
Phạm Minh Huấn,pol3713474,1960
Phạm Ngọc Nghị,pol3718086,1965
Phạm Quang Ngọc,pol19608321,1973
Phạm Thiện Nghĩa,pol19557511,1966
Phạm Thành Tươi,pol19523408,
Phạm Thị Phúc,pol19901233,1977
Phạm Văn Cành,pol3709983,1958
Phạm Văn Thiều,pol19540658,1970
Phạm Văn Tân,pol3712475,1960
Phạm Vũ Hồng,pol3299629,1961
Phạm Đình Nghị,pol3710418,1965
Rah Lan Chung,pol19887988,1971
Thái Bảo,pol19757352,1974
Triệu Thế Hùng,pol3701523,1971
Trương Hải Long,pol19753111,1976
Trương Tấn Thiệu,pol19523393,1954
Trần Hồng Châu,pol19522613,
Trần Hồng Thái,pol19887460,1974
Trần Khiêu,pol1748823,1954
Trần Minh Sanh,pol828169,1956
Trần Ngọc Tam,pol19511789,1965
Trần Quốc Cường,pol3307294,1961
Trần Quốc Nam,pol19608385,1971
Trần Quốc Văn,pol19604934,1968
Trần Thanh Liêm,pol3710124,1962
Trần Thắng,pol19604239,1966
Trần Thị Thanh Hương,pol19787528,1971
Trần Tiến Dũng,pol14688597,1975
Trần Trí Quang,pol3700786,1977
Trần Tuệ Hiền,pol3710243,1969
Trần Văn Chuyện,pol3426930,1962
Trần Văn Cần,pol3716395,1962
Trần Văn Hiện,pol3709725,1963
Trần Văn Hiệp,pol19605765,1965
Trần Văn Huyến,pol19700511,1971
Trịnh Xuân Trường,pol19605214,1977
Tạ Anh Tuấn,pol19765965,1969
U Huấn,pol19666090,1980
Vy Văn Thành,pol1667412,1956
Võ Ngọc Thành,pol3710303,1963
Võ Văn Minh,pol14773980,1972
Vũ Đức Đam,pol475335,1963
Vương Bình Thạnh,pol3277865,1959
Vương Quốc Tuấn,pol19666121,1977
Y Dhăm Ênuði,pol14818217,1958
Đinh Quốc Thái,pol3710240,1959
Đinh Văn Điến,pol3423907,1961
Đoàn Anh Dũng,pol19765968,1977
Đặng Xuân Phương,pol3700182,1974
Đỗ Minh Tuấn,pol19609179,1972
