Name,ID,Birth Year
Bùi Minh Châu,pol3702510,1961
Bùi Nhật Quang,pol15471464,1975
Bùi Thanh Sơn,pol3698506,1962
Bùi Thị Minh Hoài,pol3719093,1965
Bùi Văn Nghiêm,pol14945457,1966
Chu Ngọc Anh,pol2262518,1965
Châu Văn Minh,pol3719097,1961
Châu Văn Đặng,pol19804917,1917
Dương Thanh Bình,pol1463182,1961
Dương Văn An,pol3700036,1971
Dương Văn Thái,pol15708299,1970
Dương Văn Thăng,pol15111177,1969
Dương Văn Trang,pol1465089,1961
Giàng Páo Mỷ,pol3701448,1963
Hoàng Duy Chinh,pol3698387,1968
Hoàng Thị Thúy Lan,pol3280814,1966
Hoàng Thị Út Lan,pol13481750,
Hoàng Văn Phong,pol55276,1948
Hoàng Xuân Chiến,pol3349815,1961
Hoàng Đăng Quang,pol1463408,1961
Huỳnh Chiến Thắng,pol3349816,1965
Huỳnh Minh Chắc,pol612179,1955
Huỳnh Thành Đạt,pol1463216,1962
Huỳnh Tấn Việt,pol3281051,1962
Hà Thị Nga,pol3700730,1969
Hầu A Lềnh,pol3426293,1973
Hồ Quốc Dũng,pol3707910,1966
Lâm Thị Phương Thanh,pol3307080,1967
Lâm Văn Mẫn,pol3712240,1970
Lê Hoài Trung,pol643497,1961
Lê Hồng Quang,pol3719098,1968
Lê Khánh Hải,pol19468981,1966
Lê Minh Khái,pol3281001,1964
Lê Ngọc Quang,pol19560858,1974
Lê Quang Mạnh,pol14934042,1974
Lê Quốc Hùng,pol15256601,1966
Lê Quốc Minh,pol19486825,1969
Lê Quốc Phong,pol3419109,1978
Lê Thành Long,pol3373734,1963
Lê Tiến Châu,pol13464785,1969
Lê Trường Lưu,pol3281005,1963
Lê Đức Thọ,pol19613398,1970
Lưu Xuân Vĩnh,pol7712532,1961
Lương Cường,pol3161938,1957
Lương Quốc Đoàn,pol19613325,1970
Lại Xuân Môn,pol3698646,1963
Lữ Văn Hùng,pol3707542,1963
Mai Văn Chính,pol3306915,1961
Mai Văn Hà,pol3158226,1962
Nghiêm Xuân Thành,pol19613297,1969
Nguyễn Chí Dũng,pol626238,1960
Nguyễn Doãn Anh,pol3229307,1967
Nguyễn Hoàng Anh,pol1462730,1963
"Nguyễn Hoàng Việt, Đinh Công Khoa",pol10871086,1953
Nguyễn Hải Ninh,pol13478165,1976
Nguyễn Hồng Diên,pol807209,1965
Nguyễn Hồng Thái,pol3702513,1969
Nguyễn Hữu Nghĩa,pol19555876,1972
Nguyễn Hữu Đông,pol15466456,1972
Nguyễn Khắc Định,pol3581718,1964
Nguyễn Kim Sơn,pol3413153,1966
Nguyễn Mạnh Cường,pol19613328,1973
Nguyễn Mạnh Hùng,pol3171950,1962
Nguyễn Phú Cường,pol3280813,1967
Nguyễn Quang Dương,pol3702774,1962
Nguyễn Quang Thuấn,pol13479245,1959
Nguyễn Quốc Đoàn,pol19549830,1975
Nguyễn Thanh Nghị,pol592361,1976
Nguyễn Thành Phong,pol457607,1962
Nguyễn Thành Tâm,pol7497553,1974
Nguyễn Thúy Anh,pol1463175,1963
Nguyễn Thị Hồng,pol3250632,1968
Nguyễn Thị Minh Nguyệt,pol19905005,
Nguyễn Thị Thanh,pol238122,1967
Nguyễn Thị Thu Hà,pol1464954,1970
Nguyễn Thị Tuyến,pol1465097,1971
Nguyễn Tiến Hải,pol3709721,1965
Nguyễn Tuấn Khanh,pol275925,1954
Nguyễn Văn Gấu,pol19551863,1967
Nguyễn Văn Hùng,pol3281060,1961
"Nguyễn Văn Lợi, Tám Lợi",pol3699081,1961
Nguyễn Văn Phương,pol19661092,1970
Nguyễn Văn Quảng,pol13501540,1969
"Nguyễn Văn Thao, (Nguyễn Hoàng Thao)",pol3696803,1963
Nguyễn Văn Thắng,pol3719474,1973
Nguyễn Văn Được,pol19508009,1968
Nguyễn Xuân Ký,pol15134650,1972
Nguyễn Đình Khang,pol3424714,1967
Nguyễn Đình Trung,pol19554215,1973
Nguyễn Đắc Vinh,pol660401,1972
Nguyễn Đức Hải,pol1463245,1961
Nguyễn Đức Thanh,pol1463449,1962
Ngô Chí Cường,pol3700127,1967
Ngô Văn Tuấn,pol19498354,1971
Ngô Đông Hải,pol4149714,1970
Phan Chí Hiếu,pol19778491,1969
Phan Lương Cầm,pol346003,1943
Phan Thị Thanh Tâm,pol19795666,
Phan Việt Cường,pol3340043,1963
Phan Văn Mãi,pol3340042,1973
Phạm Gia Túc,pol19547607,1965
Phạm Tất Thắng,pol1463446,1970
Phạm Viết Thanh,pol3702677,1962
Phạm Xuân Thăng,pol1463445,1966
Phạm Đại Dương,pol14340815,1974
Quản Minh Cường,pol19777570,1969
Thái Đại Ngọc,pol19815538,1966
"Tiến sĩ, Đỗ Trọng Hưng",pol3696712,1971
Trung tướng Hồ Văn Thái,pol3701154,1968
