Name,ID,Birth Year
Chu Văn Tấn,pol66516,1910
Hoàng Anh,pol791916,1912
Hoàng Thế Thiện,pol42159,1922
Lê Chiêm,pol3174140,1958
Lê Huy Vịnh,pol3234336,1961
Lê Hữu Đức,pol795344,1955
Lê Quang Hòa,pol829978,1914
Lê Quý Đạm,pol3174136,1960
Lê Trọng Tấn,pol13018,1914
Lê Đức Anh,pol41586,1920
Lê Đức Thái,pol19431755,1967
Mai Xuân Vĩnh,pol3410352,1930
Nguyễn Chánh,pol67253,1917
"Nguyễn Chánh, Chí Thuần",pol50627,1914
Nguyễn Chí Vịnh,pol59548,1959
Nguyễn Hoàng Thủy,pol7492815,
Nguyễn Huy Cảnh,pol13365812,1968
Nguyễn Huy Hiệu,pol1739722,1947
Nguyễn Long Cáng,pol3230811,
Nguyễn Phương Nam,pol3162099,1957
Nguyễn Quang Ngọc,pol3701568,1968
Nguyễn Thành Cung,pol3155857,1953
Nguyễn Trường Thắng,pol19815676,1970
Nguyễn Tân Cương,pol3170095,1966
Nguyễn Văn Hiến,pol591162,1954
Nguyễn Văn Nghĩa,pol7504697,1964
Nguyễn Đức Soát,pol108060,1946
"Nông Văn Phách, (Vũ Lập)",pol83987,1924
Phan Văn Giang,pol3169162,1960
Phùng Sĩ Tấn,pol19835684,1966
Phạm Hoài Nam,pol3234339,1967
Phạm Minh Thắng,pol3340566,1960
Phạm Mạnh Hùng,pol15390593,1964
Phạm Ngọc Minh,pol3207889,
Phạm Văn Trà,pol46740,1935
Song Hào,pol38032,1917
Thái Văn Minh,pol17640149,
Thượng tướng Nguyễn Khắc Nghiên,pol55000,1951
"Thượng tướng, Bế Xuân Trường",pol1036049,1957
Trương Khánh Châu,pol532105,1934
Trương Mạnh Dũng,pol19856753,1970
Trần Hanh,pol589484,1932
"Trần Quý Hai, (Bùi Chấn)",pol53401,1913
Trần Sâm,pol60031,1918
"Trần Văn Quang, Bảy Tiến",pol47923,1917
"Trần Văn Trà, Tư Chi, Tư Nguyễn, Ba Trà",pol13024,1919
Trần Đơn,pol3174141,1958
"Võ Minh Lương, Tư Lương",pol3309885,1963
Võ Trọng Việt,pol649659,1957
Vũ Văn Sỹ,pol13365816,
Vương Thừa Vũ,pol49209,1910
Đinh Đức Thiện,pol10656,1914
Đoàn Khuê,pol46742,1923
Đào Trọng Lịch,pol453094,1939
Đào Đình Luyện,pol84317,1929
Đặng Quân Thụy,pol1463054,1928
Đỗ Bá Tỵ,pol55273,1954
Đỗ Trung Dương,pol3209075,1945
