Name,ID,Birth Year
Bùi Quang Thanh,pol19855883,1977
Hoàng Anh Công,pol19777126,1971
Hoàng Nghĩa Hiếu,pol19902555,1967
Hoàng Trung Dũng,pol19815413,1971
Huỳnh Thị Phúc,pol19788108,1976
Hà Quốc Trị,pol19787210,1969
Hà Sỹ Đồng,pol3424118,1964
Hồ Xuân Hùng,pol19782089,1951
Hồ Đức Phớc,pol2384198,1963
Lâm Văn Đoan,pol19778712,1976
Lê Anh Tuấn,pol3696894,1976
Lê Duẩn,pol6297,1907
Lê Hoàng Hải,pol19788651,1970
Lê Minh Hưng,pol1757157,1970
Lê Minh Trí,pol1749503,1960
Lê Quang Tùng,pol3706537,1971
Lê Thị Thanh Lam,pol19703379,1974
Lê Tấn Tới,pol3698645,1969
Lê Văn Hiệu,pol19787414,1967
Lê Xuân Thân,pol1464845,1961
Lại Văn Hoàn,pol19785604,1974
Nguyễn Anh Tuấn,pol3699847,1979
"Nguyễn Chí Thanh, Sáu Vi, Trường Sơn",pol8312,1914
Nguyễn Hòa Bình,pol806867,1958
Nguyễn Mạnh Tiến,pol1463543,1966
Nguyễn Ngọc Tuấn,pol19609848,1966
Nguyễn Phú Trọng,pol46636,1944
Nguyễn Quốc Duyệt,pol15114047,1968
Nguyễn Thiện Nhân,pol65893,1953
Nguyễn Thị Ngọc Xuân,pol19788250,1985
Nguyễn Thị Phú Hà,pol19779652,1972
Nguyễn Tri Thức,pol19635286,1973
Nguyễn Trần Phượng Trân,pol19787964,1976
Nguyễn Trọng Nghĩa,pol3156606,1962
Nguyễn Tuấn Anh,pol3700988,1975
Nguyễn Vân Chi,pol3389856,1966
Nguyễn Văn Cừ,pol13585,1912
Nguyễn Văn Linh,pol6298,1915
Nguyễn Văn Mạnh,pol19790571,1978
Nguyễn Xuân Sơn,pol3706225,1962
Nguyễn Đức Trung,pol18358580,1974
Ngô Hoàng Ngân,pol19789813,1966
Ngô Phương Ly,pol19885953,1970
Ngô Thanh Danh,pol3700188,1965
Ngô Thị Mận,pol19781903,1948
Phan Đình Trạc,pol1463498,1958
Phạm Minh Chính,pol436788,1958
Phạm Thúy Chinh,pol19774197,1970
Phạm Thị Thanh Trà,pol3338278,1964
Thái Thanh Quý,pol13969814,1976
Thái Thu Xương,pol19703135,1975
"Thạc Sĩ, Lại Thế Nguyên",pol19785802,1970
Trương Quốc Huy,pol19661048,1970
Trương Thị Mai,pol841947,1958
Trương Thị Ngọc Ánh,pol19616633,1966
Trần Cẩm Tú,pol622249,1961
Trần Kim Yến,pol3692841,1969
Trần Ngọc Khánh,pol3634774,1964
Trần Thanh Mẫn,pol642061,1962
Trần Thị Hoa Ry,pol1394691,1976
Trần Thị Nhị Hà,pol19787798,1973
Trần Văn Khải,pol19788880,1975
Trần Văn Nam,pol1464784,1963
Trần Đình Chung,pol19604880,1967
Trần Đình Văn,pol19787244,1966
Tô Lâm,pol808289,1957
Tạ Thị Yên,pol19787615,1972
Tạ Đình Thi,pol19786976,1973
Võ Trọng Hải,pol19495051,1968
Văn Thị Bạch Tuyết,pol3692846,1976
Y Thanh Hà Niê Kđăm,pol14704786,1973
Y Vinh Tơr,pol19666206,1976
Đinh Việt Dũng,pol19785402,1972
Đôn Tuấn Phong,pol3697124,1970
Đặng Hồng Sỹ,pol19787576,1976
Đỗ Mạnh Hiến,pol19667328,1969
Đỗ Quang Thành,pol3699248,1965
Đỗ Văn Chiến,pol1463191,1962
