Name,ID,Birth Year
Bùi Nguyên Súy,pol13057600,1957
"Bùi Văn Tường, (Phạm Hưng)",pol7537376,1927
Hà Kim Ngọc,pol15261265,1963
Lê Dũng,pol799200,1961
Lê Linh Lan,pol19950526,1966
Lê Thị Thu Hằng,pol3712893,1972
Nguyễn Dy Niên,pol109577,1935
Nguyễn Hải Trung,pol13831235,1968
Nguyễn Kim Khoa,pol1463311,1955
Nguyễn Phương Nga,pol796507,1963
Nguyễn Quốc Dũng,pol14791882,1964
Nguyễn Sáng Vang,pol1463527,1957
Nguyễn Sỹ Cương,pol1463203,1961
Nguyễn Thanh Nam,pol1463356,1958
Nguyễn Thanh Sơn,pol804148,1957
Nguyễn Văn Hiện,pol1463256,1954
Nguyễn Văn Thanh,pol11017495,1956
Nguyễn Văn Thảo,pol19815652,1964
Nguyễn Đăng Tiến,pol1463488,1955
Niê Thuật,pol1463471,1956
Phạm Quang Vinh,pol19433288,1957
Thân Văn Khoa,pol1463310,1958
Thạch Dư,pol1463223,1957
Võ Tuấn Nhân,pol13054712,1963
Vũ Khoan,pol60168,1937
Vũ Quang Minh,pol19815673,
Y Thông,pol11021648,1966
Đoàn Duy Khương,pol3350466,1960
Đặng Minh Khôi,pol18356658,1964
Đặng Đình Quý,pol3374174,1961
Đỗ Hùng Việt,pol19769137,1977
Đỗ Văn Đương,pol1463233,1960
